Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Jonathan David,20,FWAM,22-313,1.fr Lille,90,0,0,0,0,7,0,0,0,36,0,0,0,1.0,0.7,0.0,1,0,16,25,64.0,1,0,1,ce50fd99
Junior Hoilett,10,AM,32-171,2.eng Reading,57,0,0,0,0,1,0,0,0,16,1,0,0,0.1,0.1,0.2,4,0,7,11,63.6,0,0,1,33af5b9e
Cyle Larin,17,FW,27-220,1.be Club Brugge,33,0,0,0,0,3,1,0,0,15,0,0,0,0.2,0.2,0.1,1,0,9,9,100.0,2,0,1,e7af9060
Tajon Buchanan,11,AMWB,23-288,1.be Club Brugge,80,0,0,0,0,3,0,0,0,38,0,0,3,0.5,0.5,0.3,4,0,17,25,68.0,1,2,8,3aca6420
Liam Millar,23,WB,23-057,1.ch Basel,10,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,9,44.4,1,0,0,983515f8
Stephen Eustáquio,7,CM,25-337,1.pt Porto,80,0,0,0,0,3,0,0,0,74,3,1,0,0.2,0.2,0.2,6,0,56,66,84.8,9,1,1,577efaec
Jonathan Osorio,21,CM,30-164,1.us Toronto FC,10,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,2,0,7,8,87.5,0,0,0,70106ff6
Atiba Hutchinson,13,CM,39-288,1.tr Beşiktaş,57,0,0,0,0,1,0,0,0,35,2,0,1,0.0,0.0,0.0,1,0,26,30,86.7,3,0,0,f1b55719
Ismaël Koné,15,CM,20-170,1.us CF Montréal,33,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,1,0,29,30,96.7,0,0,0,e0220b70
Alphonso Davies,19,WBAM,22-021,1.de Bayern Munich,90,0,0,0,1,0,0,1,0,58,1,2,2,0.8,0.0,0.4,5,0,33,42,78.6,2,1,4,d781d855
Richie Laryea,22,WB,27-320,1.us Toronto FC,73,0,0,0,0,2,0,0,0,30,2,0,1,0.1,0.1,0.5,5,0,13,18,72.2,0,0,1,276fdbe4
Sam Adekugbe,3,WB,27-311,1.tr Hatayspor,17,0,0,0,0,0,0,0,0,24,0,0,1,0.0,0.0,0.1,2,0,20,22,90.9,2,0,0,7f2309be
Kamal Miller,4,CB,25-191,1.us CF Montréal,90,0,0,0,0,0,0,0,0,54,2,2,1,0.0,0.0,0.0,0,0,41,48,85.4,3,0,0,0646bd8a
Steven Vitória,5,CB,35-316,1.pt Chaves,90,0,0,0,0,0,0,0,0,56,0,0,2,0.0,0.0,0.0,0,0,45,52,86.5,2,0,0,9bc450e6
Alistair Johnston,2,CB,24-046,1.us CF Montréal,90,0,0,0,0,1,1,1,0,63,2,0,2,0.0,0.0,0.2,6,0,41,56,73.2,4,1,1,4fb17e20
Milan Borjan,18,GK,35-031,1.rs Red Star,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,1,0,28,34,82.4,0,0,0,5e8936be